country	program	course_title	us_unit	student_unit	start_date	end_date	location	quantity	total_cost	source
Cambodia	DOD East Asia and Pacific Region, Cambodia, DoD Regional Centers for Strategic Studies, FY04	Executive Course 2004-2	U.S. military staff and faculty	Army	5/17/2004	8/5/2004	Asia-Pacific Center	2	$31,750	45787
Cambodia	DOD East Asia and Pacific Region, Cambodia, Miscellaneous, DOD/DOS Non-Security Assistance, FY04	HIV/AIDS Technical Trng	Tripler Army Medical Center; Center of Excellence; Headquarters PACAF	Ministry of National Defense	9/9/2003	9/12/2003	Bangkok, Thailand	1	$2,727	45787
Cambodia	DOD East Asia and Pacific Region, Cambodia, Miscellaneous, DOD/DOS Non-Security Assistance, FY04	TAT-TECH ASSIST TEAM		Cambodian Mine Action Center - 47	8/3/2004	9/30/2004	FT BRAGG NC 28307-5000	47	$37,036	45787
Cambodia	DOD East Asia and Pacific Region, Cambodia, Miscellaneous, DOD/DOS Non-Security Assistance, FY04	TAT-TECH ASSIST TEAM		Cambodian Mine Action Center - 27	10/1/2003	9/30/2004	FT BRAGG NC 28307-5000	27	$42,552	45787
Cambodia	DOD East Asia and Pacific Region, Cambodia, Regional Defense Counterterrorism Fellowship Program, FY04	CSRT 2004C2	U.S. military staff and faculty	Army, Police	8/23/2004	9/10/2004	Asia-Pacific Center	3	$21,285	45787
China	DOD East Asia and Pacific Region, China, DoD Regional Centers for Strategic Studies, FY04	Conferences	N/A	Multiservice	2/2/2004	2/5/2004	Tashkent, Uzbekistan	1	$0	45787
China	DOD East Asia and Pacific Region, China, Miscellaneous, DOD/DOS Non-Security Assistance, FY04	SEARCH/RESCUE MARITIME		Maritime Rescue Co-ordination Centre Hong Kong	3/1/2004	3/18/2004	YORKTOWN VA 23690-5000	1	$7,753	45787
Cook Islands	DOD East Asia and Pacific Region, Cook Islands, DoD Regional Centers for Strategic Studies, FY04	Executive Course 2004-1	U.S. military staff and faculty	Ministry of Civil Aviation	1/20/2004	4/8/2004	Asia-Pacific Center	1	$16,340	45787
Cook Islands	DOD East Asia and Pacific Region, Cook Islands, DoD Regional Centers for Strategic Studies, FY04	Executive Course 2004-2	U.S. military staff and faculty	Customs, Ministry of Foreign Affairs	5/17/2004	8/5/2004	Asia-Pacific Center	2	$33,104	45787
East Timor	DOD East Asia and Pacific Region, East Timor, DoD Regional Centers for Strategic Studies, FY04	Executive Course 2004-3	U.S. military staff and faculty	Department of Defense	9/20/2004	12/9/2003	Asia-Pacific Center	1	$13,005	45787
East Timor	DOS East Asia and Pacific Region, East Timor, International Military Education and Training (IMET), FY04	GENERAL ENGLISH ONLY		East Timor Defence Force English Language School	10/27/2003	5/28/2004	LACKLAND AFB, TX 78236	1	$20,240	45787
East Timor	DOS East Asia and Pacific Region, East Timor, International Military Education and Training (IMET), FY04	OBS PROF/ENG LANG TNG		East Timor Defence Force English Language School	7/12/2004	7/23/2004	LACKLAND AFB, TX 78236	1	$782	45787
East Timor	DOD East Asia and Pacific Region, East Timor, Miscellaneous, DOD/DOS Non-Security Assistance, FY04	HIV/AIDS Counseling Wkshop	Tripler Army Medical Center; Center of Excellence; Headquarters PACAF	East Timor Military	3/22/2004	3/26/2004	Bangkok, Thailand	1	$2,708	45787
East Timor	DOD East Asia and Pacific Region, East Timor, Miscellaneous, DOD/DOS Non-Security Assistance, FY04	HIV/AIDS Technical Trng	Tripler Army Medical Center; Center of Excellence; Headquarters PACAF	East Timor (Metinaro)	9/9/2003	9/12/2003	Bangkok, Thailand	1	$2,727	45787
Fiji	DOD East Asia and Pacific Region, Fiji, DoD Regional Centers for Strategic Studies, FY04	Executive Course 2003-3	U.S. military staff and faculty	Army, Home Affairs and Immigration	9/22/2003	12/11/2003	Asia-Pacific Center	2	$25,445	45787
Fiji	East Asia and Pacific Region, Fiji, DoD Regional Centers for Strategic Studies, FY04	Executive Course 2004-1	U.S. military staff and faculty	Army, Police	1/20/2004	4/8/2004	Asia-Pacific Center	2	$31,232	45787
Fiji	East Asia and Pacific Region, Fiji, DoD Regional Centers for Strategic Studies, FY04	Executive Course 2004-2	U.S. military staff and faculty	Army, Ministry for Home Affairs	5/17/2004	8/5/2004	Asia-Pacific Center	2	$29,794	45787
Fiji	DOS East Asia and Pacific Region, Fiji, Enhanced International Peacekeeping Capabilities (EIPC), FY04	MULTI-NAT LOGISTICS		Republic of Fiji Military Forces	6/14/2004	6/25/2004	MONTEREY, CA 93943-5001	1	$6,406	45787
Fiji	DOS East Asia and Pacific Region, Fiji, International Military Education and Training (IMET), FY04	ARNG PRE-RANGER		Republic of Fiji Military Forces	8/18/2004	8/20/2004	FT BENNING GA 31905-5468	1	$4,912	45787
Fiji	DOS East Asia and Pacific Region, Fiji, International Military Education and Training (IMET), FY04	DVOT CONUS		Republic of Fiji Military Forces Forces	5/2/2004	5/11/2004		5	$27,122	45787
Fiji	DOS East Asia and Pacific Region, Fiji, International Military Education and Training (IMET), FY04	INTL CRISIS CMD/CTRL		Republic of Fiji Military Forces	9/13/2004	9/24/2004	YORKTOWN, VA 23690-5000	1	$7,008	45787
Fiji	DOS East Asia and Pacific Region, Fiji, International Military Education and Training (IMET), FY04	SR INTERNATIONAL DEF MGT		Republic of Fiji Military Forces	6/21/2004	7/16/2004	MONTEREY, CA 93943-5201	1	$10,940	45787
Fiji	DOD East Asia and Pacific Region, Fiji, Miscellaneous, DOD/DOS Non-Security Assistance, FY04	HIV/AIDS Counseling Wkshop	Tripler Army Medical Center; Center of Excellence; Headquarters PACAF	Fiji Military Forces	3/22/2004	3/26/2004	Bangkok, Thailand	1	$2,708	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, DoD Regional Centers for Strategic Studies, FY04	Executive Course 2003-3	U.S. military staff and faculty	Navy, Air Force, Ministr of Transportation Navy, Air Force, Ministry of Transportation	9/22/2003	12/11/2003	Asia-Pacific Center	3	$38,194	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, DoD Regional Centers for Strategic Studies, FY04	Executive Course 2004-1	U.S. military staff and faculty	Air Force, Army, Navy, Indonesia Saviour Alliance	1/20/2004	4/8/2004	Asia-Pacific Center	5	$78,692	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, DoD Regional Centers for Strategic Studies, FY04	Executive Course 2004-2	U.S. military staff and faculty	Air Force, Navy	5/17/2004	8/5/2004	Asia-Pacific Center	4	$63,084	45787
Indonesia	DOS East Asia and Pacific Region, Indonesia, International Military Education and Training (IMET), FY04	CCMR EXEC PRGM IN DEC MK		National Development Planning Board	6/7/2004	6/18/2004	MONTEREY, CA 93943-5001	1	$7,923	45787
Indonesia	DOS East Asia and Pacific Region, Indonesia, International Military Education and Training (IMET), FY04	DEF ACQUISITION MGMT		Supreme Audit Board (BPK - RI)	12/1/2003	12/12/2003	MONTEREY, CA 93943-5103	1	$8,863	45787
Indonesia	DOS East Asia and Pacific Region, Indonesia, International Military Education and Training (IMET), FY04	DEF ACQUISITION MGMT		Supreme Audit Board (BPK - RI)	12/1/2003	12/12/2003	MONTEREY, CA 93943-5103	1	$8,863	45787
Indonesia	DOS East Asia and Pacific Region, Indonesia, International Military Education and Training (IMET), FY04	DEF RES MGT CRS		PERSONEL STAFF ID AF HQ – CILANGKAP, JAKARTA - INDONESIA	7/19/2004	8/12/2004	MONTEREY, CA 93943-5201	1	$9,870	45787
Indonesia	DOS East Asia and Pacific Region, Indonesia, International Military Education and Training (IMET), FY04	EXEC HLTHCR RES MGT CRS		ID ARMY HOSPITAL "GATOT SUBROTO" JAKARTA	6/7/2004	6/18/2004	BROOKS AFB, TX 78235-5123	1	$5,388	45787
Indonesia	DOS East Asia and Pacific Region, Indonesia, International Military Education and Training (IMET), FY04	EXEC HLTHCR RES MGT CRS		MINISTRY OF HEALTH REPUBLIC OF INDONESIA	6/7/2004	6/18/2004	BROOKS AFB, TX 78235-5123	1	$5,388	45787
Indonesia	East Asia and Pacific Region, Indonesia, International Military Education and Training (IMET), FY04	INTL LAW OF MIL OPS I-LOMO		AIR FORCE LEGAL SERVICE AF HEADQUARTERS	6/14/2004	6/25/2004	NEWPORT, RI 02841-1523	1	$7,698	45787
Indonesia	East Asia and Pacific Region, Indonesia, International Military Education and Training (IMET), FY04	INTL MARITIME OFF		DIRECTORATE OF SEA COMMUNICATION	2/2/2004	4/9/2004	YORKTOWN, VA 23690-5000	1	$15,238	45787
Indonesia	East Asia and Pacific Region, Indonesia, International Military Education and Training (IMET), FY04	INTL SENIOR OFF STAFF CRS		SEA COMMUNICATIONS DIRECTORATE GENERAL MINISTRY OF COMMUNICATIONS	4/19/2004	5/7/2004	NEWPORT, RI 02841-1207	1	$9,228	45787
Indonesia	East Asia and Pacific Region, Indonesia, International Military Education and Training (IMET), FY04	MET DRMI (MIDMC) REGIONAL		GENERAL PLANNING SERVICE INDONESIAN NATIONAL DEFENSE FORCES HEADQUARTERS	5/17/2004	5/28/2004		1	$4,749	45787
Indonesia	East Asia and Pacific Region, Indonesia, International Military Education and Training (IMET), FY04	MET DRMI (MIDMC) REGIONAL		INDONESIAN DOD	5/17/2004	5/28/2004		1	$4,749	45787
Indonesia	East Asia and Pacific Region, Indonesia, International Military Education and Training (IMET), FY04	MIL & PCKEEP OPS IAW ROL		AIR DEFENSE ARTILLERY TRAINING CENTER MALANG	4/19/2004	5/27/2004	NEWPORT, RI 02841-1523	1	$16,217	45787
Indonesia	East Asia and Pacific Region, Indonesia, International Military Education and Training (IMET), FY04	PK FOR DECISION MAKERS		DEPARTMENT OF FOREIGN AFFAIRS, JL. PEJAMBON NO. 6 - JAKARTA	7/26/2004	8/6/2004	NEWPORT, RI 02841-1523	1	$11,198	45787
Indonesia	East Asia and Pacific Region, Indonesia, International Military Education and Training (IMET), FY04	PK FOR DECISION MAKERS		TNI HQ – CILANGKAP, JAKARTA	7/26/2004	8/6/2004	NEWPORT, RI 02841-1523	1	$11,198	45787
Indonesia	East Asia and Pacific Region, Indonesia, International Military Education and Training (IMET), FY04	PK FOR DECISION MAKERS		UNITED NATIONS – 325 EAST 38TH STREET, NEW YORK. NY 10016	7/26/2004	8/6/2004	NEWPORT, RI 02841-1523	1	$11,198	45787
Indonesia	East Asia and Pacific Region, Indonesia, International Military Education and Training (IMET), FY04	SR INTERNATIONAL DEF MGT		ABDULRACHMAN SALEH AIR FORCE BASE MALANG	6/21/2004	7/16/2004	MONTEREY, CA 93943-5201	1	$10,260	45787
Indonesia	East Asia and Pacific Region, Indonesia, International Military Education and Training (IMET), FY04	SR INTERNATIONAL DEF MGT		NATIONAL AIR DEFENSE COMMAND PAPUA	6/21/2004	7/16/2004	MONTEREY, CA 93943-5201	1	$10,260	45787
Indonesia	East Asia and Pacific Region, Indonesia, International Military Education and Training (IMET), FY04	TOEFL PREPARATION		ASSISTANT FOR PERSONNEL STAFF AF HEADQUARTERS	2/23/2004	6/11/2004	LACKLAND AFB, TX 78236-5259	1	$21,880	45787
Indonesia	East Asia and Pacific Region, Indonesia, International Military Education and Training (IMET), FY04	TOEFL PREPARATION		AUDIT BOARD REPUBILC OF INDONESIA	9/1/2003	12/19/2003	LACKLAND AFB, TX 78236-5259	1	$13,750	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Miscellaneous, DOD/DOS Non-Security Assistance, FY04	HIV/AIDS Counseling Wkshop	Tripler Army Medical Center; Center of Excellence; Headquarters PACAF	Ministry of Defense; Air Forces Headquarters	3/22/2004	3/26/2004	Bangkok, Thailand	2	$2,708	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Miscellaneous, DOD/DOS Non-Security Assistance, FY04	HIV/AIDS Technical Trng	Tripler Army Medical Center; Center of Excellence; Headquarters PACAF	Health Services Directorate; Department of Defense	9/9/2003	9/12/2003	Bangkok, Thailand	2	$2,727	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	689BSEC BLDG PST-CFLCT ENV		NATIONAL AIR DEFENSE COMMAND	9/30/2002	12/19/2003	MONTEREY, CA 93943-5027	1	$61,690	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	689BSEC BLDG PST-CFLCT ENV		AIR FORCE TRAINING COMMAND	9/30/2002	12/19/2003	MONTEREY, CA 93943-5027	1	$61,690	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	AIR COMD & STAFF COLLEGE		3RD SQUADRON, ISWAHYUDI AIR BASE MADIUN	8/7/2003	6/7/2004	MAXWELL AFB, AL 36112-6323	1	$43,376	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	AIR COMD & STAFF COLLEGE		AIR SQUADRON 14, ISWAHYUDI AFB MADIUN	8/7/2003	6/7/2004	MAXWELL AFB, AL 36112-6323	1	$43,376	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	AIR WAR COLLEGE		IDAF C/S ASSISTANT FOR PLANNING & BUDGETING	7/28/2003	6/1/2004	MAXWELL AFB, AL 36112-6323	1	$45,964	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	AMERICAN LANGUAGE COURSE		DEPARTMENT OF DEFENSE JAKARTA	6/9/2003	12/12/2003	LACKLAND AFB, TX 78236	1	$20,164	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	AMERICAN LANGUAGE COURSE		TNI STRATEGIC INTELLIGENCE AGENCY JAKARTA	6/9/2003	12/12/2003	LACKLAND AFB, TX 78236	1	$20,164	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	AMERICAN LANGUAGE COURSE		FOREIGN COOPERATION SUB-DIRECTORATE DEPARTMENT OF DEFENSE JAKARTA	6/9/2003	12/12/2003	LACKLAND AFB, TX 78236	1	$20,164	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	AMERICAN LANGUAGE COURSE		AIR WING EASTERN FLEET	5/5/2003	11/21/2003	LACKLAND AFB, TX 78236	1	$21,310	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	AMERICAN LANGUAGE COURSE		CENTRAL WAREHOUSE MATERIAL SERVICE HALIM AFB	5/5/2003	11/21/2003	LACKLAND AFB, TX 78236	1	$21,310	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	AMERICAN LANGUAGE COURSE		SQUADRON 11 HASANUDDIN AIR FORCE BASE	5/5/2003	11/21/2003	LACKLAND AFB, TX 78236	1	$21,310	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	AMERICAN LANGUAGE COURSE		FINANCE SERVICE NAVY HEADQUARTERS	5/5/2003	11/21/2003	LACKLAND AFB, TX 78236	1	$21,310	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	AMERICAN LANGUAGE COURSE		NAVY EDUCATION SERVICE NAVY HEADQUARTERS	5/5/2003	11/21/2003	LACKLAND AFB, TX 78236	1	$21,310	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	AMERICAN LANGUAGE COURSE		15TH SQUADRON ISWAHYUDI AFB	5/5/2003	11/21/2003	LACKLAND AFB, TX 78236	1	$21,310	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	AMERICAN LANGUAGE COURSE		INFORMATION CENTER, NATIONAL DEFENSE FORCES HEADQUARTERS	5/5/2003	11/21/2003	LACKLAND AFB, TX 78236	1	$21,310	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	AMERICAN LANGUAGE COURSE		PRESIDENTAIL SECURITY TROOPS JAKARTA	6/9/2003	12/12/2003	LACKLAND AFB, TX 78236	1	$20,164	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	AMERICAN LANGUAGE COURSE		TNI STRATEGIC INTELLIGENCE AGENCY JAKARTA	6/9/2003	12/12/2003	LACKLAND AFB, TX 78236	1	$20,164	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	AMERICAN LANGUAGE COURSE		AERONAUTICAL SERVICE AIR FORCE HEADQUARTERS	5/5/2003	11/21/2003	LACKLAND AFB, TX 78236	1	$21,310	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	AMERICAN LANGUAGE CRS(ALC)		Indonesian Marine Headquarters	4/12/2004	7/9/2004	LACKLAND AFB, TX 78236-5259	1	$18,206	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	ARMY WAR COLLEGE (RES CRS)		INDONESIAN ARMY COMMAND & STAFF COLLEGE BANDUNG	6/27/2004	7/8/2004	CARLISLE BKS PA 17013-5050	1	$6,938	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	CCC INTERNATION ENGR PREP		EOD COMPANY ARMY ENGINEER DIRECTORATE	7/26/2004	8/6/2004	FT LEONARD WOOD MO 65473-5000	0	$167	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	CCC INTERNATION ENGR PREP		COMBAT ENGINEER BATTALION # 5 MALANG	3/15/2004	3/26/2004	FT LEONARD WOOD MO 65473-5000	0	$167	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	CCC INTL STUDENT MP PREP		MILITARY POLICE JAYA MILITARY REGIONAL COMMAND JAKARTA	3/15/2004	3/26/2004	FT LEONARD WOOD MO 65473-5000	0	$209	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	CIV-MIL RESP TO TERRORISM		Indonesian Navy	4/19/2004	4/30/2004	MONTEREY, CA 93943-5001	1	$10,095	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	CMD & GEN STAFF OFF PREP		AIR DEFENSE ARTILLERY BATTALION ARMY STRATEGIC COMMAND MALANG	7/26/2004	8/13/2004	FT LEAVENWORTH KS 66027-1352	0	$3,047	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	COMB STRAT INTEL TNG PRGM		MILITARY SEA LIFT COMMAND	7/12/2004	8/27/2004	WASHINGTON DC 20340-5100	1	$11,418	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	COMMAND & GEN STAFF OFF		CAVALRY WEAPONS CENTER BANDUNG	8/18/2003	6/18/2004	FT LEAVENWORTH KS 66027-1352	1	$10,709	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	COMMAND & STAFF COLL USMC		MARINE COMBAT SUPPORT REGIMENT	7/21/2003	6/9/2004	QUANTICO, VA 22134	1	$49,091	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	CSRT 2004C1	U.S. military staff and faculty	Army, Police, State Intelligence Agency	4/10/2004	4/30/2004	Asia-Pacific Center	3	$25,401	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	CSRT 2004C2	U.S. military staff and faculty	Army, National Intelligence, Office of Coordination Minister for Politics	8/23/2004	9/10/2004	Asia-Pacific Center	3	$22,557	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	DEF ACQUISITION MGMT		ASSISTANT FOR BUDGET & PLANNING OFFICE, AIR FORCE HEADQUARTERS	12/1/2003	12/12/2003	MONTEREY, CA 93943-5103	1	$8,133	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	DEF ACQUISITION MGMT		ASSISTANT FOR BUDGET AND PLANNING STAFF OFFICER AF HEADQUARTERS	12/1/2003	12/12/2003	MONTEREY, CA 93943-5103	1	$8,133	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	DEFENSE RESTRUCTURING		NATIONAL DEFENSE BOARD	11/10/2003	11/21/2003	MONTEREY, CA 93943-5001	1	$10,747	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	DEFENSE RESTRUCTURING		GENERAL PLANNING STAFF, ID NATIONAL DEFESE FORCES (TNI) HQRS	11/10/2003	11/21/2003	MONTEREY, CA 93943-5001	1	$10,747	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	ENGINEER OFF CPT CAREER		COMBAT ENGINEER BATTALION # 5 MALANG	3/29/2004	8/5/2004	FT LEONARD WOOD MO 65473-5000	1	$4,669	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	ENGINEER OFFICER BASIC		COMBAT ENGINEERING BATTALION 2 PRABUMULIH	3/22/2004	7/20/2004	FT LEONARD WOOD MO 65473-5000	1	$3,086	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	ENGINEER OFFICER BASIC		ENGINEERING CONSTRUCTION BATTALION #11	3/22/2004	7/20/2004	FT LEONARD WOOD MO 65473-5000	1	$3,086	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	ENGLISH LANGUAGE CRSE		ARMY STRATEGIC COMMAND DIVIF 1 BOGOR	3/8/2004	6/11/2004	SAN ANTONIO TX 78236-5259	1	$3,775	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	ENGLISH LANGUAGE CRSE		AIR DEFENSE ARTILLERY BATTEREY REGIONAL MILITARY COMMAND II SRIWIJAYA PALEMBANG	11/24/2003	2/27/2004	SAN ANTONIO TX 78236-5259	1	$3,775	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	ENGLISH LANGUAGE CRSE		REGIONAL MILITARY COMMAND VII MAKASSAR	2/2/2004	4/30/2004	SAN ANTONIO TX 78236-5259	1	$3,510	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	ENGLISH LANGUAGE CRSE		MILITARY POLICE JAYA MILITARY REGIONAL COMMAND JAKARTA	11/24/2003	2/27/2004	SAN ANTONIO TX 78236-5259	1	$3,775	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	GENERAL ENGLISH LANG TNG		ADISUCIPTO AIR FORCE BASE YOGYAKARTA	8/18/2003	10/10/2003	LACKLAND AFB, TX 78236	1	$8,865	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	IF PREPARATORY COURSE		INDONESIAN NATIONAL DEFENSE FORCES STRATEGIC INTELLIGENCE AGENCY	6/16/2004	8/6/2004	FT MCNAIR WASH DC 20319-5960	0	$36,504	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	INTEL IN COMBAT TERRORISM		AIRBORNE INFANTRY BATTALION 330 BANDUNG	3/8/2004	3/19/2004	FT HUACHUCA AZ 85613-7000	1	$643	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	INTEL IN COMBAT TERRORISM		AIR DEFENSE ARTILLERY BATTEREY REGIONAL MILITARY COMMAND II SRIWIJAYA PALEMBANG	3/8/2004	3/19/2004	FT HUACHUCA AZ 85613-7000	1	$643	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	INTEL IN COMBAT TERRORISM		MILITARY DISTRICT COMMAND 1606 LOMBOK BARAT	3/8/2004	3/19/2004	FT HUACHUCA AZ 85613-7000	1	$643	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	INTELLIGENCE & DEMOCRACY		National Intelligence Organization (BIN)	6/21/2004	6/25/2004	MONTEREY, CA 93943-5001	1	$6,759	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	INTELLIGENCE & DEMOCRACY		Indonesian National Police	6/21/2004	6/25/2004	MONTEREY, CA 93943-5001	1	$6,759	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	INTELLIGENCE & DEMOCRACY		Indonesian Navy	6/21/2004	6/25/2004	MONTEREY, CA 93943-5001	1	$6,759	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	INTERNATIONAL OFF LOG PREP		ASST FOR LOGISTICS OFFICE, INDONESIAN NATIONAL DEFENSE FORCES (TNI) HEADQUARTERS	8/2/2004	8/13/2004	FT LEE VA 23801-1705	0	$4,044	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	INTERNATIONAL OFF LOG PREP		INDONESIAN ARMY HEADQUARERS, ASST FOR LOGISTICS OFFICE	8/2/2004	8/13/2004	FT LEE VA 23801-1705	0	$4,044	45787
Indonesia	DOD East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	INTERNATIONAL OFF LOG PREP		INSPECTORATE GENERAL AIR FORCE HEADQUARTERS	12/29/2003	1/9/2004	FT LEE VA 23801-1705	0	$4,044	45787
Indonesia	East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	INTERNATIONAL OFFICER PREP		AIR DEFENSE ARTILLERY BATTALION ARMY STRATEGIC COMMAND MALANG	6/28/2004	7/23/2004	FT LEAVENWORTH KS 66027-1352	0	$652	45787
Indonesia	East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	INTL CRISIS CMD/CTRL		NATIONAL SEARCH & RESCUE AGENCY, JL. MEDAN MERDEKA TIMUR NO.5	9/13/2004	9/24/2004	YORKTOWN, VA 23690-5000	1	$3,070	45787
Indonesia	East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	INTL DEFENSE MGT CRS		CAVALRY TRIANING CENTER BANDUNG	2/2/2004	4/14/2004	MONTEREY, CA 93943-5201	1	$22,779	45787
Indonesia	East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	INTL DEFENSE MGT CRS		ENGINEER EDUCATION CENTER	2/2/2004	4/14/2004	MONTEREY, CA 93943-5201	1	$22,779	45787
Indonesia	East Asia and Pacific Region, Indonesia, Regional Defense Counterterrorism Fellowship Program, FY04	INT'L INTEL OFF BASIC		AIRBORNE INFANTRY BATTALION 330 BANDUNG	11/12/2003	2/20/2004	FT HUACHUCA AZ 85613-7000	1	$4,880	45787
